Week of,Weekly U.S. Field Production of Crude Oil Thousand Barrels per Day
10/9/2020,10500
10/2/2020,11000
9/25/2020,10700
9/18/2020,10700
9/11/2020,10900
9/4/2020,10000
8/28/2020,9700
8/21/2020,10800
8/14/2020,10700
8/7/2020,10700
7/31/2020,11000
7/24/2020,11100
7/17/2020,11100
7/10/2020,11000
7/3/2020,11000
6/26/2020,11000
6/19/2020,11000
6/12/2020,10500
6/5/2020,11100
5/29/2020,11200
5/22/2020,11400
5/15/2020,11500
5/8/2020,11600
5/1/2020,11900
4/24/2020,12100
4/17/2020,12200
4/10/2020,12300
4/3/2020,12400
3/27/2020,13000
3/20/2020,13000
3/13/2020,13100
3/6/2020,13000
2/28/2020,13100
2/21/2020,13000
2/14/2020,13000
2/7/2020,13000
1/31/2020,12900
1/24/2020,13000
1/17/2020,13000
1/10/2020,13000
1/3/2020,12900
12/27/2019,12900
12/20/2019,12900
12/13/2019,12800
12/6/2019,12800
11/29/2019,12900
11/22/2019,12900
11/15/2019,12800
11/8/2019,12800
11/1/2019,12600
10/25/2019,12600
10/18/2019,12600
10/11/2019,12600
10/4/2019,12600
9/27/2019,12400
9/20/2019,12500
9/13/2019,12400
9/6/2019,12400
8/30/2019,12400
8/23/2019,12500
8/16/2019,12300
8/9/2019,12300
8/2/2019,12300
7/26/2019,12200
7/19/2019,11300
7/12/2019,12000
7/5/2019,12300
6/28/2019,12200
6/21/2019,12100
6/14/2019,12200
6/7/2019,12300
5/31/2019,12400
5/24/2019,12300
5/17/2019,12200
5/10/2019,12100
5/3/2019,12200
4/26/2019,12300
4/19/2019,12200
4/12/2019,12100
4/5/2019,12200
3/29/2019,12200
3/22/2019,12100
3/15/2019,12100
3/8/2019,12000
3/1/2019,12100
2/22/2019,12100
2/15/2019,12000
2/8/2019,11900
2/1/2019,11900
1/25/2019,11900
1/18/2019,11900
1/11/2019,11900
1/4/2019,11700
12/28/2018,11700
12/21/2018,11700
12/14/2018,11600
12/7/2018,11600
11/30/2018,11700
11/23/2018,11700
11/16/2018,11700
11/9/2018,11700
11/2/2018,11600
10/26/2018,11200
10/19/2018,10900
10/12/2018,10900
10/5/2018,11200
9/28/2018,11100
9/21/2018,11100
9/14/2018,11000
9/7/2018,10900
8/31/2018,11000
8/24/2018,11000
8/17/2018,11000
8/10/2018,10900
8/3/2018,10800
7/27/2018,10900
7/20/2018,11000
7/13/2018,11000
7/6/2018,10900
6/29/2018,10900
6/22/2018,10900
6/15/2018,10900
6/8/2018,10900
6/1/2018,10800
5/25/2018,10769
5/18/2018,10725
5/11/2018,10723
5/4/2018,10703
4/27/2018,10619
4/20/2018,10586
4/13/2018,10540
4/6/2018,10525
3/30/2018,10460
3/23/2018,10433
3/16/2018,10407
3/9/2018,10381
3/2/2018,10369
2/23/2018,10283
2/16/2018,10270
2/9/2018,10271
2/2/2018,10251
1/26/2018,9919
1/19/2018,9878
1/12/2018,9750
1/5/2018,9492
12/29/2017,9782
12/22/2017,9754
12/15/2017,9789
12/8/2017,9780
12/1/2017,9707
11/24/2017,9682
11/17/2017,9658
11/10/2017,9645
11/3/2017,9620
10/27/2017,9553
10/20/2017,9507
10/13/2017,8406
10/6/2017,9480
9/29/2017,9561
9/22/2017,9547
9/15/2017,9510
9/8/2017,9353
9/1/2017,8781
8/25/2017,9530
8/18/2017,9528
8/11/2017,9502
8/4/2017,9423
7/28/2017,9430
7/21/2017,9410
7/14/2017,9429
7/7/2017,9397
6/30/2017,9338
6/23/2017,9250
6/16/2017,9350
6/9/2017,9330
6/2/2017,9318
5/26/2017,9342
5/19/2017,9320
5/12/2017,9305
5/5/2017,9314
4/28/2017,9293
4/21/2017,9265
4/14/2017,9252
4/7/2017,9235
3/31/2017,9199
3/24/2017,9147
3/17/2017,9129
3/10/2017,9109
3/3/2017,9088
2/24/2017,9032
2/17/2017,9001
2/10/2017,8977
2/3/2017,8978
1/27/2017,8915
1/20/2017,8961
1/13/2017,8944
1/6/2017,8946
12/30/2016,8770
12/23/2016,8766
12/16/2016,8786
12/9/2016,8796
12/2/2016,8697
11/25/2016,8699
11/18/2016,8690
11/11/2016,8681
11/4/2016,8692
10/28/2016,8522
10/21/2016,8504
10/14/2016,8464
10/7/2016,8450
9/30/2016,8467
9/23/2016,8497
9/16/2016,8512
9/9/2016,8493
9/2/2016,8458
8/26/2016,8488
8/19/2016,8548
8/12/2016,8597
8/5/2016,8445
7/29/2016,8460
7/22/2016,8515
7/15/2016,8494
7/8/2016,8485
7/1/2016,8428
6/24/2016,8622
6/17/2016,8677
6/10/2016,8716
6/3/2016,8745
5/27/2016,8735
5/20/2016,8767
5/13/2016,8791
5/6/2016,8802
4/29/2016,8825
4/22/2016,8938
4/15/2016,8953
4/8/2016,8977
4/1/2016,9008
3/25/2016,9022
3/18/2016,9038
3/11/2016,9068
3/4/2016,9078
2/26/2016,9077
2/19/2016,9102
2/12/2016,9135
2/5/2016,9186
1/29/2016,9214
1/22/2016,9221
1/15/2016,9235
1/8/2016,9227
1/1/2016,9219
12/25/2015,9202
12/18/2015,9179
12/11/2015,9176
12/4/2015,9164
11/27/2015,9202
11/20/2015,9165
11/13/2015,9182
11/6/2015,9185
10/30/2015,9160
10/23/2015,9112
10/16/2015,9096
10/9/2015,9096
10/2/2015,9172
9/25/2015,9096
9/18/2015,9136
9/11/2015,9117
9/4/2015,9135
8/28/2015,9218
8/21/2015,9337
8/14/2015,9348
8/7/2015,9395
7/31/2015,9465
7/24/2015,9413
7/17/2015,9558
7/10/2015,9562
7/3/2015,9604
6/26/2015,9595
6/19/2015,9604
6/12/2015,9589
6/5/2015,9610
5/29/2015,9586
5/22/2015,9566
5/15/2015,9262
5/8/2015,9374
5/1/2015,9369
4/24/2015,9373
4/17/2015,9366
4/10/2015,9384
4/3/2015,9404
3/27/2015,9386
3/20/2015,9422
3/13/2015,9419
3/6/2015,9366
2/27/2015,9324
2/20/2015,9285
2/13/2015,9280
2/6/2015,9226
1/30/2015,9177
1/23/2015,9213
1/16/2015,9186
1/9/2015,9192
1/2/2015,9132
12/26/2014,9121
12/19/2014,9127
12/12/2014,9137
12/5/2014,9118
11/28/2014,9083
11/21/2014,9077
11/14/2014,9004
11/7/2014,9063
10/31/2014,8972
10/24/2014,8970
10/17/2014,8934
10/10/2014,8951
10/3/2014,8875
9/26/2014,8837
9/19/2014,8867
9/12/2014,8838
9/5/2014,8590
8/29/2014,8630
8/22/2014,8631
8/15/2014,8577
8/8/2014,8556
8/1/2014,8453
7/25/2014,8443
7/18/2014,8565
7/11/2014,8592
7/4/2014,8514
6/27/2014,8442
6/20/2014,8446
6/13/2014,8477
6/6/2014,8460
5/30/2014,8383
5/23/2014,8472
5/16/2014,8434
5/9/2014,8428
5/2/2014,8350
4/25/2014,8352
4/18/2014,8360
4/11/2014,8301
4/4/2014,8229
3/28/2014,8192
3/21/2014,8190
3/14/2014,8215
3/7/2014,8182
2/28/2014,8077
2/21/2014,8059
2/14/2014,8148
